lr-Adam,step,val_loss,epoch,train_loss,test_loss
0.0005,0,,,,
,117,0.031487613916397095,0,,
,117,,0,0.03905249759554863,
0.0005,118,,,,
,235,0.02760048769414425,1,,
,235,,1,0.02817392349243164,
0.0005,236,,,,
,353,0.012713969685137272,2,,
,353,,2,0.017826149240136147,
0.0005,354,,,,
,471,0.006639402825385332,3,,
,471,,3,0.009144751355051994,
0.0005,472,,,,
,589,0.004342022351920605,4,,
,589,,4,0.00561037752777338,
0.0005,590,,,,
,707,0.0047158244997262955,5,,
,707,,5,0.003922523930668831,
0.0005,708,,,,
,825,0.0024527942296117544,6,,
,825,,6,0.0029227330815047026,
0.0005,826,,,,
,943,0.002561392728239298,7,,
,943,,7,0.0022765982430428267,
0.0005,944,,,,
,1061,0.0016984384274110198,8,,
,1061,,8,0.0018543771002441645,
0.0005,1062,,,,
,1179,0.001231081667356193,9,,
,1179,,9,0.0015073685208335519,
0.0005,1180,,,,
,1297,0.0009608203545212746,10,,
,1297,,10,0.0012449185596778989,
0.0005,1298,,,,
,1415,0.0007488864939659834,11,,
,1415,,11,0.0010005412623286247,
0.0005,1416,,,,
,1533,0.0009759577224031091,12,,
,1533,,12,0.0009722178219817579,
0.0005,1534,,,,
,1651,0.0005622163880616426,13,,
,1651,,13,0.0008398311911150813,
0.0005,1652,,,,
,1769,0.0005083626601845026,14,,
,1769,,14,0.0006760225514881313,
0.0005,1770,,,,
,1887,0.00040327070746570826,15,,
,1887,,15,0.000687545514665544,
0.0005,1888,,,,
,2005,0.00044024622184224427,16,,
,2005,,16,0.0005209952942095697,
0.0005,2006,,,,
,2123,0.0006268192664720118,17,,
,2123,,17,0.0005529283662326634,
0.0005,2124,,,,
,2241,0.0003041702730115503,18,,
,2241,,18,0.0005145890754647553,
0.0005,2242,,,,
,2359,0.0002817800850607455,19,,
,2359,,19,0.0004535300249699503,
,2360,,20,,0.0002817301428876817
,2360,,20,,0.00035526236752048135
