                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.95715,                0.92649,                0.95221,                0.99075,                0.99396,                0.99305,                0.79508,                0.76178,                0.46232,                0.88579,              0.0033273,              0.0033273,              0.0033273
                      1,                0.84096,                0.50132,                 0.9041,                0.99467,                0.99554,                0.99416,                 0.8068,                0.72492,                0.41614,                0.88358,              0.0066276,              0.0066276,              0.0066276
                      2,                0.82998,                0.47143,                0.90638,                0.98983,                0.99557,                0.99365,                 0.8132,                0.72025,                0.41685,                0.89405,               0.009895,               0.009895,               0.009895
                      3,                0.79947,                  0.427,                0.90366,                0.99255,                0.98705,                 0.9943,                0.81802,                0.68867,                0.35886,                0.88865,              0.0098515,              0.0098515,              0.0098515
                      4,                0.76744,                0.38898,                0.89785,                0.99608,                0.99697,                 0.9944,                0.82544,                0.68335,                0.31592,                0.88447,              0.0098515,              0.0098515,              0.0098515
                      5,                0.74929,                0.36517,                0.89477,                0.99581,                0.99742,                0.99449,                0.84165,                 0.6624,                0.29655,                 0.8795,               0.009802,               0.009802,               0.009802
                      6,                0.73691,                0.34978,                0.89196,                0.99534,                0.99795,                0.99442,                0.84312,                0.66568,                0.29026,                0.88612,              0.0097525,              0.0097525,              0.0097525
                      7,                0.72597,                0.33757,                0.89106,                0.99377,                0.99713,                0.99422,                0.84457,                0.66246,                0.28693,                 0.8828,               0.009703,               0.009703,               0.009703
                      8,                0.72028,                0.33022,                0.88929,                0.99658,                0.99787,                0.99455,                 0.8496,                0.65524,                0.27216,                0.88304,              0.0096535,              0.0096535,              0.0096535
                      9,                0.71526,                0.32464,                0.88902,                0.99597,                0.99857,                0.99446,                0.85338,                0.65549,                0.26755,                0.88041,               0.009604,               0.009604,               0.009604
                     10,                0.71044,                0.31896,                0.88613,                0.99617,                0.99842,                 0.9944,                0.84732,                0.64999,                0.27046,                0.87692,              0.0095545,              0.0095545,              0.0095545
                     11,                0.70449,                0.31302,                0.88692,                0.99655,                0.99854,                0.99447,                0.85599,                0.64552,                0.25954,                0.87685,               0.009505,               0.009505,               0.009505
                     12,                0.70272,                0.31136,                0.88531,                0.99648,                0.99824,                0.99451,                0.85474,                0.64482,                0.25768,                0.88032,              0.0094555,              0.0094555,              0.0094555
                     13,                0.70056,                0.30783,                0.88577,                0.99716,                0.99846,                0.99453,                0.85311,                0.64933,                0.25842,                0.88107,               0.009406,               0.009406,               0.009406
                     14,                0.69638,                0.30501,                0.88321,                0.99785,                0.99817,                0.99459,                0.85743,                0.64366,                0.25198,                0.87984,              0.0093565,              0.0093565,              0.0093565
                     15,                0.69412,                0.30169,                 0.8834,                0.99704,                0.99838,                0.99461,                0.85896,                0.64221,                  0.252,                 0.8775,               0.009307,               0.009307,               0.009307
                     16,                 0.6922,                0.30052,                0.88237,                0.99686,                0.99859,                0.99452,                0.85418,                0.64092,                0.25132,                0.87837,              0.0092575,              0.0092575,              0.0092575
                     17,                 0.6904,                0.29975,                0.88216,                0.99717,                0.99855,                0.99454,                0.85838,                0.63807,                0.24727,                0.87796,               0.009208,               0.009208,               0.009208
                     18,                0.68751,                0.29558,                0.88155,                 0.9959,                0.99819,                0.99453,                0.85766,                0.63795,                0.24881,                0.87481,              0.0091585,              0.0091585,              0.0091585
                     19,                 0.6859,                0.29599,                0.88173,                 0.9966,                0.99852,                0.99457,                0.85768,                 0.6364,                0.24769,                0.87775,               0.009109,               0.009109,               0.009109
                     20,                0.68602,                0.29528,                0.88123,                0.99763,                0.99818,                0.99465,                0.85661,                0.63747,                0.24682,                0.87675,              0.0090595,              0.0090595,              0.0090595
                     21,                 0.6844,                0.29329,                0.88159,                0.99726,                0.99876,                0.99463,                0.86275,                0.63405,                0.24382,                0.87231,                0.00901,                0.00901,                0.00901
                     22,                0.67981,                 0.2896,                0.88001,                0.99805,                0.99804,                0.99461,                0.86143,                0.63252,                0.24124,                0.87237,              0.0089605,              0.0089605,              0.0089605
                     23,                0.67833,                0.28783,                0.88028,                0.99729,                0.99856,                0.99459,                0.86093,                0.63193,                0.23842,                0.87415,               0.008911,               0.008911,               0.008911
                     24,                0.67927,                0.28789,                0.87967,                0.99808,                0.99857,                0.99465,                0.86015,                0.63494,                 0.2426,                0.87575,              0.0088615,              0.0088615,              0.0088615
                     25,                0.67883,                0.28676,                0.88009,                0.99799,                0.99878,                0.99468,                 0.8631,                0.62993,                0.23634,                0.87644,               0.008812,               0.008812,               0.008812
                     26,                0.67696,                0.28505,                0.88001,                0.99805,                0.99865,                0.99462,                0.86029,                0.63418,                0.23666,                0.88047,              0.0087625,              0.0087625,              0.0087625
